Number of nodes: 14
Number of links: 42
==================================================
source	dest.	hops	path (link ids)
==================================================
0	1	1	0
0	2	1	2
0	3	2	0-8
0	4	3	0-8-12
0	5	2	2-10
0	6	4	0-8-12-18
0	7	1	4
0	8	2	4-26
0	9	3	4-26-28
0	10	3	0-8-14
0	11	3	4-26-30
0	12	3	4-26-32
0	13	4	4-26-32-40
1	0	1	1
1	2	1	6
1	3	1	8
1	4	2	8-12
1	5	2	6-10
1	6	3	8-12-18
1	7	4	8-12-18-24
1	8	4	8-14-34-31
1	9	3	6-10-20
1	10	2	8-14
1	11	3	8-14-34
1	12	3	8-14-36
1	13	4	8-14-34-38
2	0	1	3
2	1	1	7
2	3	2	7-8
2	4	3	7-8-12
2	5	1	10
2	6	3	10-17-18
2	7	2	3-4
2	8	3	10-20-29
2	9	2	10-20
2	10	3	7-8-14
2	11	3	10-22-39
2	12	3	10-22-41
2	13	2	10-22
3	0	2	9-1
3	1	1	9
3	2	2	9-6
3	4	1	12
3	5	2	12-16
3	6	2	12-18
3	7	3	12-18-24
3	8	3	14-36-33
3	9	3	12-16-20
3	10	1	14
3	11	2	14-34
3	12	2	14-36
3	13	3	14-34-38
4	0	3	13-9-1
4	1	2	13-9
4	2	3	13-9-6
4	3	1	13
4	5	1	16
4	6	1	18
4	7	2	18-24
4	8	3	18-24-26
4	9	2	16-20
4	10	2	13-14
4	11	4	18-24-26-30
4	12	4	18-24-26-32
4	13	5	18-24-26-30-38
5	0	2	11-3
5	1	2	11-7
5	2	1	11
5	3	2	17-13
5	4	1	17
5	6	2	17-18
5	7	3	20-29-27
5	8	2	20-29
5	9	1	20
5	10	4	20-29-30-35
5	11	3	20-29-30
5	12	2	22-41
5	13	1	22
6	0	4	19-13-9-1
6	1	3	19-13-9
6	2	3	19-16-11
6	3	2	19-13
6	4	1	19
6	5	2	19-16
6	7	1	24
6	8	2	24-26
6	9	3	24-26-28
6	10	4	24-26-32-37
6	11	3	24-26-30
6	12	3	24-26-32
6	13	4	24-26-32-40
7	0	1	5
7	1	4	25-19-13-9
7	2	2	5-2
7	3	3	25-19-13
7	4	2	25-19
7	5	3	26-28-21
7	6	1	25
7	8	1	26
7	9	2	26-28
7	10	3	26-30-35
7	11	2	26-30
7	12	2	26-32
7	13	3	26-30-38
8	0	2	27-5
8	1	4	30-35-15-9
8	2	3	28-21-11
8	3	3	32-37-15
8	4	3	27-25-19
8	5	2	28-21
8	6	2	27-25
8	7	1	27
8	9	1	28
8	10	2	30-35
8	11	1	30
8	12	1	32
8	13	2	32-40
9	0	3	29-27-5
9	1	3	21-11-7
9	2	2	21-11
9	3	3	21-17-13
9	4	2	21-17
9	5	1	21
9	6	3	29-27-25
9	7	2	29-27
9	8	1	29
9	10	3	29-32-37
9	11	2	29-30
9	12	2	29-32
9	13	3	29-32-40
10	0	3	15-9-1
10	1	2	15-9
10	2	3	15-9-6
10	3	1	15
10	4	2	15-12
10	5	4	34-31-28-21
10	6	4	34-31-27-25
10	7	3	34-31-27
10	8	2	34-31
10	9	3	36-33-28
10	11	1	34
10	12	1	36
10	13	2	34-38
11	0	3	31-27-5
11	1	3	35-15-9
11	2	3	38-23-11
11	3	2	35-15
11	4	4	31-27-25-19
11	5	3	31-28-21
11	6	3	31-27-25
11	7	2	31-27
11	8	1	31
11	9	2	31-28
11	10	1	35
11	12	2	38-41
11	13	1	38
12	0	3	33-27-5
12	1	3	37-15-9
12	2	3	40-23-11
12	3	2	37-15
12	4	4	33-27-25-19
12	5	2	40-23
12	6	3	33-27-25
12	7	2	33-27
12	8	1	33
12	9	2	33-28
12	10	1	37
12	11	2	40-39
12	13	1	40
13	0	4	39-31-27-5
13	1	4	39-35-15-9
13	2	2	23-11
13	3	3	39-35-15
13	4	5	41-33-27-25-19
13	5	1	23
13	6	4	39-31-27-25
13	7	3	39-31-27
13	8	2	41-33
13	9	3	39-31-28
13	10	2	39-35
13	11	1	39
13	12	1	41
