Region,Codigo region,Comuna,Codigo comuna,Poblacion,2021-05-21
Arica y Parinacota,15,Arica,15101,247552,908
Arica y Parinacota,15,Camarones,15102,1233,3
Arica y Parinacota,15,General Lagos,15202,810,1
Arica y Parinacota,15,Putre,15201,2515,2
Tarapaca,1,Alto Hospicio,1107,129999,341
Tarapaca,1,Camina,1402,1375,4
Tarapaca,1,Colchane,1403,1583,2
Tarapaca,1,Huara,1404,3000,2
Tarapaca,1,Iquique,1101,223463,585
Tarapaca,1,Pica,1405,5958,15
Tarapaca,1,Pozo Almonte,1401,17395,18
Antofagasta,2,Antofagasta,2101,425725,562
Antofagasta,2,Calama,2201,190336,538
Antofagasta,2,Maria Elena,2302,6814,19
Antofagasta,2,Mejillones,2102,14776,22
Antofagasta,2,Ollague,2202,287,0
Antofagasta,2,San Pedro de Atacama,2203,10434,18
Antofagasta,2,Sierra Gorda,2103,1746,2
Antofagasta,2,Taltal,2104,13657,8
Antofagasta,2,Tocopilla,2301,28079,54
Atacama,3,Alto del Carmen,3302,5729,1
Atacama,3,Caldera,3102,19426,44
Atacama,3,Chanaral,3201,13164,23
Atacama,3,Copiapo,3101,171766,540
Atacama,3,Diego de Almagro,3202,14358,47
Atacama,3,Freirina,3303,7681,24
Atacama,3,Huasco,3304,11264,15
Atacama,3,Tierra Amarilla,3103,14312,54
Atacama,3,Vallenar,3301,57009,164
Coquimbo,4,Andacollo,4103,11791,3
Coquimbo,4,Canela,4202,9546,8
Coquimbo,4,Combarbala,4302,13884,23
Coquimbo,4,Coquimbo,4102,256735,531
Coquimbo,4,Illapel,4201,32801,51
Coquimbo,4,La Higuera,4104,4450,5
Coquimbo,4,La Serena,4101,249656,433
Coquimbo,4,Los Vilos,4203,23374,115
Coquimbo,4,Monte Patria,4303,32527,50
Coquimbo,4,Ovalle,4301,121269,232
Coquimbo,4,Paiguano,4105,4675,2
Coquimbo,4,Punitaqui,4304,12165,24
Coquimbo,4,Rio Hurtado,4305,4372,10
Coquimbo,4,Salamanca,4204,29110,47
Coquimbo,4,Vicuna,4106,29741,21
Valparaiso,5,Algarrobo,5602,15174,34
Valparaiso,5,Cabildo,5402,20663,27
Valparaiso,5,Calera,5502,53591,135
Valparaiso,5,Calle Larga,5302,16482,28
Valparaiso,5,Cartagena,5603,25357,86
Valparaiso,5,Casablanca,5102,29170,76
Valparaiso,5,Catemu,5702,15213,32
Valparaiso,5,Concon,5103,45889,86
Valparaiso,5,El Quisco,5604,17742,42
Valparaiso,5,El Tabo,5605,14338,41
Valparaiso,5,Hijuelas,5503,19099,50
Valparaiso,5,Isla de Pascua,5201,8277,1
Valparaiso,5,Juan Fernandez,5104,1033,0
Valparaiso,5,La Cruz,5504,25321,55
Valparaiso,5,La Ligua,5401,37739,77
Valparaiso,5,Limache,5802,49931,120
Valparaiso,5,Llaillay,5703,26533,20
Valparaiso,5,Los Andes,5301,68093,167
Valparaiso,5,Nogales,5506,23490,28
Valparaiso,5,Olmue,5803,19266,49
Valparaiso,5,Panquehue,5704,7633,29
Valparaiso,5,Papudo,5403,6201,1
Valparaiso,5,Petorca,5404,10558,21
Valparaiso,5,Puchuncavi,5105,20071,52
Valparaiso,5,Putaendo,5705,17645,24
Valparaiso,5,Quillota,5501,97572,210
Valparaiso,5,Quilpue,5801,167085,221
Valparaiso,5,Quintero,5107,36135,88
Valparaiso,5,Rinconada,5303,11263,33
Valparaiso,5,San Antonio,5601,96761,267
Valparaiso,5,San Esteban,5304,20643,40
Valparaiso,5,San Felipe,5701,83494,226
Valparaiso,5,Santa Maria,5706,16367,63
Valparaiso,5,Santo Domingo,5606,11934,21
Valparaiso,5,Valparaiso,5101,315732,669
Valparaiso,5,Villa Alemana,5804,139310,228
Valparaiso,5,Vina del Mar,5109,361371,654
Valparaiso,5,Zapallar,5405,7994,9
Metropolitana,13,Alhue,13502,7405,7
Metropolitana,13,Buin,13402,109641,309
Metropolitana,13,Calera de Tango,13403,28525,89
Metropolitana,13,Cerrillos,13102,88956,221
Metropolitana,13,Cerro Navia,13103,142465,519
Metropolitana,13,Colina,13301,180353,537
Metropolitana,13,Conchali,13104,139195,329
Metropolitana,13,Curacavi,13503,36430,111
Metropolitana,13,El Bosque,13105,172000,695
Metropolitana,13,El Monte,13602,40014,130
Metropolitana,13,Estacion Central,13106,206792,559
Metropolitana,13,Huechuraba,13107,112528,230
Metropolitana,13,Independencia,13108,142065,364
Metropolitana,13,Isla de Maipo,13603,40171,160
Metropolitana,13,La Cisterna,13109,100434,297
Metropolitana,13,La Florida,13110,402433,1172
Metropolitana,13,La Granja,13111,122557,454
Metropolitana,13,La Pintana,13112,189335,702
Metropolitana,13,La Reina,13113,100252,164
Metropolitana,13,Lampa,13302,126898,290
Metropolitana,13,Las Condes,13114,330759,447
Metropolitana,13,Lo Barnechea,13115,124076,245
Metropolitana,13,Lo Espejo,13116,103865,238
Metropolitana,13,Lo Prado,13117,104403,442
Metropolitana,13,Macul,13118,134635,319
Metropolitana,13,Maipu,13119,578605,1200
Metropolitana,13,Maria Pinto,13504,14926,48
Metropolitana,13,Melipilla,13501,141612,421
Metropolitana,13,Nunoa,13120,250192,422
Metropolitana,13,Padre Hurtado,13604,74188,257
Metropolitana,13,Paine,13404,82766,301
Metropolitana,13,Pedro Aguirre Cerda,13121,107803,438
Metropolitana,13,Penaflor,13605,101058,285
Metropolitana,13,Penalolen,13122,266798,1051
Metropolitana,13,Pirque,13202,30433,101
Metropolitana,13,Providencia,13123,157749,230
Metropolitana,13,Pudahuel,13124,253139,749
Metropolitana,13,Puente Alto,13201,645909,2107
Metropolitana,13,Quilicura,13125,254694,548
Metropolitana,13,Quinta Normal,13126,136368,454
