;client;client_id;f_nac;edad;ingr_liquido;comuna;comuna_id;ciudad;ciudad_id;region;gse;gse_id;prof;prof_id;genero;cond_civ;antig_client;auto_marca;auto;auto_marca_id;period_fabr;auto_tasacion;auto_tot_tas;num_auto;p_avaluo_total;dconsumo;lincred;dhipotecario;num_Inst
36797;142669461;1141335;06-11-1965;50;805923;TALCAHUANO;277;CONCEPCION;14;8;C2;2.0;;;2;2;0;;0;;;;;;27932680.0;813000.0;4041000.0;29651000.0;1.0
11886;23452836;187602;27-05-1966;49;3000000;SAN BERNARDO;246;SAN BERNARDO;41;13;ABC1;1.0;;;2;2;11;;0;;;;;;96594660.0;23374000.0;6833000.0;0.0;2.0
30766;91666211;733309;19-12-1982;33;1076483;LO PRADO;130;SANTIAGO;44;13;ABC1;1.0;INGENIERO;1.0;1;1;0;;0;;;;;;;6798000.0;5464000.0;59223000.0;2.0
32028;102625711;820985;08-04-1978;38;1638758;TALCA;276;TALCA;46;7;;;;;1;1;0;;0;;;;;;42285517.0;2169000.0;22097000.0;47123000.0;3.0
8711;17260461;138063;26-02-1968;48;815564;MAIPU;146;SANTIAGO;44;13;ABC1;1.0;SECRETARIA;1.0;2;2;0;DAIHATSU;1;23.0;1980.0;260000.0;260000.0;2.0;16790748.0;1651000.0;5623000.0;31462000.0;1.0
41307;230542461;1844319;08-05-1974;42;4742796;VITACURA;299;SANTIAGO;44;13;ABC1;1.0;TECNICO;3.0;1;1;0;MINI;1;76.0;2012.0;11597000.0;11597000.0;1.0;55415733.0;43288000.0;108914000.0;62157000.0;4.0
41511;235404836;1883218;09-05-1981;35;867227;MAIPU;146;SANTIAGO;44;13;;;;;1;1;0;;0;;;;;;;5513000.0;4241000.0;50019000.0;2.0
46255;317776711;2542193;03-12-1963;52;754458;ANTOFAGASTA;8;ANTOFAGASTA;2;2;;;SECRETARIA;1.0;2;2;0;DATSUN;1;24.0;1982.0;571250.0;571250.0;1.0;;6178000.0;7937000.0;35410000.0;2.0
25239;81861711;654873;31-08-1966;49;2833633;HUECHURABA;96;SANTIAGO;44;13;C3;3.0;;;1;2;0;;0;;;;;;25018288.0;46230000.0;33013000.0;75846000.0;2.0
34419;122744586;981936;07-05-1980;36;904937;RANCAGUA;230;RANCAGUA;39;6;;;INGENIERO;1.0;1;3;0;;0;;;;;;;4714000.0;576000.0;0.0;2.0
37228;146441461;1171511;05-03-1972;44;1625000;LAS CONDES;119;SANTIAGO;44;13;ABC1;1.0;;;2;1;0;;0;;;;;;374586342.0;6998000.0;15386000.0;21987000.0;2.0
53113;634091461;5072711;21-11-1974;41;2488396;VILLA ALEMANA;296;VALPARAISO;51;5;;;;;1;2;0;CHEVROLET;1;18.0;1996.0;1125000.0;1125000.0;2.0;27726483.0;45081000.0;5440000.0;116602000.0;2.0
